MATRICULA,SIT._LIG_AGUA,SIT._LIG_ESGOTO,NUMERO_HIDROMETRO,TIPO_HIDROMETRO,MARCA_HIDROMETRO,CAPACIDADE_HIDROMETRO,DIAMETRO_HIDROMETRO,CLASSE_METROLOGICA,DATA_INSTALACAO_HIDROMETRO,CATEGORIA_PRINCIPAL,NUMERO_ECONOMIAS_RES,NUMERO_ECONOMIAS_COM,NUMERO_ECONOMIAS_IND,NUMERO_ECONOMIAS_PUB,VOLUME_LIDO,VOLUME_REAL,VOLUME_FATURADO,VALOR_AGUA,VALOR_ESGOTO,VALOR_SERVICOS,VALOR_IMPOSTOS,VALOR_DESCONTOS,VALOR_TOTAL,VOLUME_LIDO_01,VOLUME_REAL_01,VOLUME_FATURADO_01,VALOR_AGUA_01,VALOR_ESGOTO_01,VALOR_SERVICOS_01,VALOR_IMPOSTOS_01,VALOR_DESCONTOS_01,VALOR_TOTAL_01,VOLUME_LIDO_02,VOLUME_REAL_02,VOLUME_FATURADO_02,VALOR_AGUA_02,VALOR_ESGOTO_02,VALOR_SERVICOS_02,VALOR_IMPOSTOS_02,VALOR_DESCONTOS_02,VALOR_TOTAL_02,VOLUME_LIDO_03,VOLUME_REAL_03,VOLUME_FATURADO_03,VALOR_AGUA_03,VALOR_ESGOTO_03,VALOR_SERVICOS_03,VALOR_IMPOSTOS_03,VALOR_DESCONTOS_03,VALOR_TOTAL_03,VOLUME_LIDO_04,VOLUME_REAL_04,VOLUME_FATURADO_04,VALOR_AGUA_04,VALOR_ESGOTO_04,VALOR_SERVICOS_04,VALOR_IMPOSTOS_04,VALOR_DESCONTOS_04,VALOR_TOTAL_04,VOLUME_LIDO_05,VOLUME_REAL_05,VOLUME_FATURADO_05,VALOR_AGUA_05,VALOR_ESGOTO_05,VALOR_SERVICOS_05,VALOR_IMPOSTOS_05,VALOR_DESCONTOS_05,VALOR_TOTAL_05,VOLUME_LIDO_06,VOLUME_REAL_06,VOLUME_FATURADO_06,VALOR_AGUA_06,VALOR_ESGOTO_06,VALOR_SERVICOS_06,VALOR_IMPOSTOS_06,VALOR_DESCONTOS_06,VALOR_TOTAL_06,VOLUME_LIDO_07,VOLUME_REAL_07,VOLUME_FATURADO_07,VALOR_AGUA_07,VALOR_ESGOTO_07,VALOR_SERVICOS_07,VALOR_IMPOSTOS_07,VALOR_DESCONTOS_07,VALOR_TOTAL_07,VOLUME_LIDO_08,VOLUME_REAL_08,VOLUME_FATURADO_08,VALOR_AGUA_08,VALOR_ESGOTO_08,VALOR_SERVICOS_08,VALOR_IMPOSTOS_08,VALOR_DESCONTOS_08,VALOR_TOTAL_08,VOLUME_LIDO_09,VOLUME_REAL_09,VOLUME_FATURADO_09,VALOR_AGUA_09,VALOR_ESGOTO_09,VALOR_SERVICOS_09,VALOR_IMPOSTOS_09,VALOR_DESCONTOS_09,VALOR_TOTAL_09,VOLUME_LIDO_10,VOLUME_REAL_10,VOLUME_FATURADO_10,VALOR_AGUA_10,VALOR_ESGOTO_10,VALOR_SERVICOS_10,VALOR_IMPOSTOS_10,VALOR_DESCONTOS_10,VALOR_TOTAL_10,VOLUME_LIDO_11,VOLUME_REAL_11,VOLUME_FATURADO_11,VALOR_AGUA_11,VALOR_ESGOTO_11,VALOR_SERVICOS_11,VALOR_IMPOSTOS_11,VALOR_DESCONTOS_11,VALOR_TOTAL_11,VOLUME_LIDO_12,VOLUME_REAL_12,VOLUME_FATURADO_12,VALOR_AGUA_12,VALOR_ESGOTO_12,VALOR_SERVICOS_12,VALOR_IMPOSTOS_12,VALOR_DESCONTOS_12,VALOR_TOTAL_12
1209537-0,Ativa,Ativa,Y22S490239,Unijato,MARCA A,"1,6","3/4""",Classe B,20/02/2024,Residencial,1.0,,,,3.0,3.0,10.0,51.77,41.42,2.74,0.0,0.0,95.93,17.0,17.0,17.0,118.48,94.78,0.0,0.0,0.0,213.26,12.0,12.0,12.0,70.83,56.66,5.16,0.0,0.0,132.65,14.0,14.0,14.0,89.89,71.91,1.81,0.0,0.0,163.61,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,8.0,8.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,10.0,10.0,10.0,49.46,39.57,1.85,0.0,0.0,90.88,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,10.0,10.0,10.0,49.46,39.57,1.9,0.0,0.0,90.93,9.0,9.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,8.0,8.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03
1209552-4,Ativa,Ativa,Y21S226374,Unijato,MARCA A,"1,6","3/4""",Classe B,19/10/2021,Residencial,1.0,,,,6.0,6.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,5.0,5.0,10.0,51.77,41.42,2.94,0.0,0.0,96.13,6.0,6.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,2.0,2.0,10.0,51.77,41.42,63.68,0.0,0.0,156.87,5.0,5.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,6.0,6.0,10.0,49.46,39.57,80.09999999999998,0.0,0.0,169.13,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
1210192-3,Ativa,Ativa,A21AA0175469,Multijato,MARCA A,"1,5","3/4""",Classe B,14/05/2024,Residencial,1.0,,,,21.0,21.0,21.0,156.6,125.28,0.0,0.0,0.0,281.88,28.0,28.0,28.0,234.44,187.55,0.0,0.0,0.0,421.99,34.0,34.0,34.0,313.88,251.1,0.0,0.0,0.0,564.98,29.0,29.0,29.0,247.68,198.14,0.0,0.0,0.0,445.82,28.0,28.0,28.0,223.91,179.13,0.0,0.0,0.0,403.04,29.0,29.0,29.0,236.56,189.25,0.0,0.0,0.0,425.81,26.0,26.0,26.0,198.61,158.89,0.0,0.0,0.0,357.5,34.0,34.0,34.0,299.81,239.85,0.0,0.0,0.0,539.66,34.0,34.0,34.0,299.81,239.85,0.0,0.0,0.0,539.66,27.0,27.0,27.0,211.26,169.01,0.0,0.0,0.0,380.27,32.0,32.0,32.0,274.51,219.61,0.0,0.0,0.0,494.12,26.0,26.0,26.0,198.61,158.89,0.0,0.0,0.0,357.5,28.0,28.0,28.0,223.91,179.13,0.0,0.0,0.0,403.04
1210205-9,Ativa,Ativa,A23AA0210661,Multijato,MARCA A,"1,5","3/4""",Classe B,21/02/2024,Residencial,1.0,,,,30.0,30.0,30.0,260.92,208.74,0.0,0.0,0.0,469.66,20.0,20.0,20.0,147.07,117.66,15.59,0.0,0.0,280.32,26.0,26.0,26.0,207.96,166.37,0.0,0.0,0.0,374.33,35.0,35.0,35.0,327.12,261.7,0.0,0.0,0.0,588.82,22.0,22.0,22.0,158.66,126.93,168.83,0.0,0.0,454.42,27.0,27.0,27.0,211.26,169.01,0.0,0.0,0.0,380.27,32.0,32.0,32.0,274.51,219.61,0.0,0.0,0.0,494.12,28.0,28.0,28.0,223.91,179.13,0.0,0.0,0.0,403.04,25.0,25.0,25.0,185.96,148.77,0.0,0.0,0.0,334.73,17.0,17.0,17.0,113.16,90.53,34.57,0.0,0.0,238.26,19.0,19.0,19.0,131.36,105.09,35.33,0.0,0.0,271.78,31.0,31.0,31.0,261.86,209.49,0.0,0.0,0.0,471.35,26.0,26.0,26.0,198.61,158.89,0.0,0.0,0.0,357.5
1210231-8,Ativa,Ativa,A16B069097,ULTRASSÔNICO,MARCA B,"1,5","3/4""",Classe C,07/03/2017,Residencial,30.0,,,,206.0,206.0,300.0,1553.1,1242.48,0.0,0.0,0.0,2795.58,213.0,213.0,300.0,1553.1,1242.48,0.0,0.0,0.0,2795.58,217.0,217.0,300.0,1553.1,1242.48,0.0,0.0,0.0,2795.58,280.0,280.0,300.0,1553.1,1242.48,0.0,0.0,0.0,2795.58,188.0,188.0,300.0,1483.8,1187.04,0.0,0.0,0.0,2670.84,191.0,191.0,300.0,1483.8,1187.04,0.0,0.0,0.0,2670.84,238.0,238.0,300.0,1483.8,1187.04,0.0,0.0,0.0,2670.84,169.0,169.0,300.0,1483.8,1187.04,0.0,0.0,0.0,2670.84,136.0,136.0,300.0,1483.8,1187.04,0.0,0.0,0.0,2670.84,115.0,115.0,300.0,1483.8,1187.04,0.0,0.0,0.0,2670.84,114.0,114.0,300.0,1483.8,1187.04,0.0,0.0,0.0,2670.84,153.0,153.0,400.0,1978.4,1582.72,0.0,0.0,0.0,3561.12,159.0,159.0,400.0,1978.4,1582.72,0.0,0.0,0.0,3561.12
1211680-7,Ativa,Ativa,Y24L183775,Unijato,MARCA C,"1,6","3/4""",Classe A,19/05/2025,Industrial,,,1.0,,7.0,7.0,10.0,76.81999999999998,61.46,2.88,0.0,0.0,141.16,4.0,4.0,10.0,76.81999999999998,61.46,2.91,0.0,0.0,141.19,7.0,7.0,10.0,76.81999999999998,61.46,3.26,0.0,0.0,141.54,10.0,10.0,10.0,76.81999999999998,61.46,2.79,0.0,0.0,141.07,10.0,10.0,10.0,73.39,58.71,0.0,0.0,0.0,132.1,8.0,8.0,10.0,73.39,58.71,3.04,0.0,0.0,135.14,9.0,9.0,10.0,73.39,58.71,3.66,0.0,0.0,135.76,7.0,7.0,10.0,73.39,58.71,3.94,0.0,0.0,136.04,11.0,11.0,11.0,85.18,68.14,3.44,0.0,0.0,156.76,12.0,12.0,12.0,96.97,77.58,4.68,0.0,0.0,179.23,11.0,11.0,11.0,85.18,68.14,3.29,0.0,0.0,156.61,14.0,14.0,14.0,120.55,96.44,5.87,0.0,0.0,222.86,9.0,9.0,10.0,73.39,58.71,4.85,0.0,0.0,136.95
1213365-5,Cancelada,Cancelada,,,,,,,,Residencial,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,49.46,39.57,0.0,0.0,4.2,84.83,0.0,0.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,0.0,0.0,10.0,49.46,39.57,0.0,0.0,89.03,0.0,0.0,0.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,2.0,2.0,10.0,49.46,39.57,4.2,0.0,0.0,93.23,2.0,2.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03
1213368-0,Ativa,Ativa,Y19S042835,Unijato,MARCA D,"1,6","3/4""",Classe B,08/11/2019,Residencial,1.0,,,,10.0,10.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,11.0,11.0,11.0,61.3,49.04,0.0,0.0,0.0,110.34,12.0,12.0,12.0,70.83,56.66,0.0,0.0,0.0,127.49,12.0,12.0,12.0,70.83,56.66,0.0,0.0,0.0,127.49,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,9.0,9.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,15.0,15.0,15.0,94.96,75.97,0.0,0.0,0.0,170.93,19.0,19.0,19.0,131.36,105.09,0.0,0.0,0.0,236.45,14.0,14.0,14.0,85.86,68.69,2.08,0.0,0.0,156.63,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,8.0,8.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03
1213369-8,Ativa,Ativa,Y21S506098,Unijato,MARCA A,"1,6","3/4""",Classe B,17/07/2023,Residencial,1.0,,,,17.0,17.0,17.0,118.48,94.78,0.0,0.0,0.0,213.26,20.0,20.0,20.0,147.07,117.66,0.0,0.0,0.0,264.73,10.0,10.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,2.0,2.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,6.0,6.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,14.0,14.0,14.0,85.86,68.69,0.0,0.0,0.0,154.55,27.0,27.0,27.0,211.26,169.01,0.0,0.0,0.0,380.27,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,14.0,14.0,14.0,85.86,68.69,0.0,0.0,0.0,154.55,30.0,30.0,30.0,249.21,199.37,0.0,0.0,0.0,448.58,17.0,17.0,17.0,113.16,90.53,0.0,0.0,0.0,203.69,15.0,15.0,15.0,94.96,75.97,0.0,0.0,0.0,170.93,5.0,5.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03
1213381-7,Ativa,Ativa,Y22S490451,Unijato,MARCA A,"1,6","3/4""",Classe B,27/03/2024,Residencial,1.0,,,,12.0,12.0,12.0,70.83,56.66,0.0,0.0,0.0,127.49,10.0,10.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,11.0,11.0,11.0,61.3,49.04,0.0,0.0,0.0,110.34,15.0,15.0,15.0,99.42,79.54,0.0,0.0,0.0,178.96,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,13.0,13.0,13.0,76.76,61.41,3.81,0.0,0.0,141.98,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,14.0,14.0,14.0,85.86,68.69,0.0,0.0,0.0,154.55,13.0,13.0,13.0,76.76,61.41,0.0,0.0,0.0,138.17,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79
